TIC;Class
0100103200;Noisy
0100246700;Noisy
0010057105;Noisy
0100902951;Noisy
0101006951;Noisy
0101017295;Noisy
0101334173;Var
0101544662;Var
0101809311;Noisy
0103917986;Var
0001042982;Noisy
0104849412;Noisy
0104987051;Noisy
0105617353;Noisy
0105617738;Noisy
0105617746;Noisy
1056309571;Noisy
0105882667;Var
0106260491;Var
0010763017;Noisy
0001103005;Noisy
0111225256;Noisy
0111238214;Noisy
0001115423;Noisy
0111898820;Var
0001126948;Noisy
0011302733;Noisy
0114436019;Noisy
0114493383;Noisy
0114550378;Noisy
0114742401;Noisy
0114804400;Var
0115015091;Noisy
0115070878;Noisy
0115081056;Noisy
0115656691;Noisy
0115894138;Noisy
0116052911;Noisy
0011614280;Noisy
0116265042;Noisy
0116280747;Noisy
0116415883;Var
0011654435;Noisy
0011669592;Noisy
0116786255;Noisy
0011713886;Noisy
0117222611;Noisy
0117542316;Noisy
0117550432;Noisy
0117779375;Noisy
0011831072;Noisy
0118333218;Var
0118388764;Noisy
0001195021;Noisy
0119578924;Noisy
0119584412;Noisy
0120608718;Noisy
0121024099;Noisy
0121076714;Noisy
0121204333;Noisy
0121419822;Noisy
0121947405;Noisy
0001220362;Noisy
0122506840;Var
0122686721;Noisy
0122769886;Noisy
0122980224;Noisy
0123218839;Noisy
0123910286;Noisy
0124093410;Noisy
0012419647;Noisy
0124279525;Noisy
0124529500;Var
0012456725;Noisy
0124786210;Noisy
0125115082;Var
0125281427;Var
0012547830;Noisy
0125480584;Noisy
0125529556;Noisy
0125596179;Var
0125941934;Noisy
0125979876;Noisy
0126323624;Noisy
0127227820;Noisy
0127427358;Var
0001274822;Noisy
0001274935;Var
0128500118;Noisy
0128558673;Noisy
0128902569;Var
0128926677;Noisy
0128968044;Noisy
0129143301;Noisy
0129440431;Var
0129457965;Var
0129642035;Noisy
0012967420;Var
0130608549;Noisy
0013075244;Noisy
0131029546;Noisy
0131042085;Noisy
0131119300;Var
0132021980;Noisy
0132157954;Noisy
0132450923;Noisy
0134621509;Noisy
0134639753;Noisy
0134975395;Var
0013732129;Noisy
0137858708;Var
0138126906;Noisy
0138500614;Var
0138579249;Var
0138660798;Noisy
0139053298;Var
0139196106;Var
0139200489;Noisy
0139203976;Noisy
0139263181;Noisy
0139471770;Noisy
0140208626;Var
0140460641;Noisy
0141025090;Noisy
0141201800;Noisy
0141274365;Noisy
0141804159;Noisy
0141899106;Noisy
0014194564;Noisy
0142088517;Noisy
0142165517;Noisy
0142171751;Noisy
0142218905;Var
0142350987;Var
0142369751;Noisy
0142563406;Noisy
0142850878;Noisy
0142944290;Noisy
0143041454;Var
